City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
259,Carnarvon,AU,-24.8667,113.6333,71.78,72,5,11.14,clear sky
260,Lasa,IT,46.6166,10.7002,41.88,86,99,2.28,overcast clouds
261,Alberdi,AR,-32.8899,-60.6906,74.03,65,0,13.8,clear sky
262,Sao Joao Da Barra,BR,-21.6403,-41.0511,73.49,92,96,13.56,light rain
263,Laguna,US,38.421,-121.4238,59.92,47,0,8.05,clear sky
264,Westport,US,41.1415,-73.3579,58.82,84,100,16.11,overcast clouds
265,Teya,RU,60.3778,92.6267,1.35,97,100,7.67,light snow
266,Norman Wells,CA,65.282,-126.8329,-9.36,77,100,4.61,light snow
267,Orange Cove,US,36.6244,-119.3137,63.63,41,0,0.0,haze
268,Beyneu,KZ,45.3167,55.2,23.02,29,0,5.88,clear sky
269,Yulara,AU,-25.2406,130.9889,81.16,16,1,11.86,clear sky
270,North Bend,US,43.4065,-124.2243,48.07,93,100,13.8,overcast clouds
271,Bathsheba,BB,13.2167,-59.5167,79.41,78,20,10.36,few clouds
272,Coihaique,CL,-45.5752,-72.0662,55.35,47,20,6.91,few clouds
273,Tambura,SS,5.6,27.4667,70.27,82,99,3.33,overcast clouds
274,Sioux Lookout,CA,50.1001,-91.917,14.07,85,100,19.57,overcast clouds
275,Narsaq,GL,60.9167,-46.05,28.62,90,94,5.08,overcast clouds
276,Portland,US,45.5234,-122.6762,44.58,92,75,10.0,broken clouds
277,Esperance,AU,-33.8667,121.9,74.93,46,11,16.15,few clouds
278,Lindi,TZ,-10.0,39.7167,74.68,94,34,2.62,scattered clouds
279,Sena Madureira,BR,-9.0656,-68.6569,82.06,63,58,3.56,broken clouds
280,Solnechnyy,RU,50.7214,136.6319,-6.77,87,67,3.51,broken clouds
281,Mount Gambier,AU,-37.8333,140.7667,63.34,65,67,7.0,broken clouds
282,Sonipat,IN,28.9833,77.0167,55.4,42,0,5.03,clear sky
283,Khatanga,RU,71.9667,102.5,-28.41,96,81,7.07,broken clouds
284,Cozumel,MX,20.5083,-86.9458,84.27,79,0,8.01,clear sky
285,Canutama,BR,-6.5339,-64.3831,78.94,82,78,1.86,broken clouds
286,Najran,SA,17.4924,44.1277,57.85,41,40,1.77,scattered clouds
287,Saryozek,KZ,44.3583,77.9753,28.22,97,99,16.49,snow
288,Jinchang,CN,38.4953,102.1739,11.59,57,14,3.8,few clouds
289,Halifax,CA,44.6453,-63.5724,47.21,86,100,34.52,overcast clouds
290,Sohbatpur,PK,28.5202,68.5434,61.21,24,28,1.48,scattered clouds
291,Asau,RO,46.4333,26.4,33.28,95,100,3.02,overcast clouds
292,Laranjeiras Do Sul,BR,-25.4078,-52.4161,61.93,96,99,2.93,light rain
293,Santa Maria,BR,-29.6842,-53.8069,81.7,57,20,13.8,few clouds
294,Huangpi,CN,30.8845,114.3779,30.31,51,0,6.71,clear sky
295,Bestobe,KZ,52.4994,73.0975,-0.08,86,100,13.76,overcast clouds
296,Moses Lake,US,47.1301,-119.2781,26.96,80,40,0.0,scattered clouds
297,Florianopolis,BR,-27.6146,-48.5012,73.13,98,100,19.57,thunderstorm with rain
298,Ucluelet,CA,48.9329,-125.5528,38.08,79,17,5.03,few clouds
299,Riyadh,SA,24.6877,46.7219,64.54,33,72,7.7,broken clouds
300,Vao,NC,-22.6667,167.4833,78.71,81,73,5.84,broken clouds
